Latitude: 47.3339035, Longitude: 9.6617885, Information Type: guidepost, Reference: VWW 33.59
Latitude: 47.3320061, Longitude: 9.6509439, Information Type: guidepost, Reference: VWW 33.103
Latitude: 47.3431811, Longitude: 9.6764815, Information Type: guidepost, Reference: VWW 33.79
Latitude: 47.3358783, Longitude: 9.6650935, Information Type: guidepost, Reference: VWW 33.56
Latitude: 47.3377913, Longitude: 9.6605484, Information Type: guidepost, Reference: VWW 33.53
Latitude: 47.3407200, Longitude: 9.6574690, Information Type: guidepost, Reference: VWW 33.89
Latitude: 47.3391415, Longitude: 9.6577097, Information Type: guidepost, Reference: VWW 33.52
Latitude: 47.3365218, Longitude: 9.6927761, Information Type: guidepost, Reference: VWW 33.94
Latitude: 47.3387883, Longitude: 9.6821305, Information Type: guidepost, Reference: VWW 33.69
Latitude: 47.3424349, Longitude: 9.6853095, Information Type: guidepost, Reference: VWW 33.78
Latitude: 47.3311580, Longitude: 9.6626320, Information Type: guidepost, Reference: VWW 33.61
Latitude: 47.3332074, Longitude: 9.6697795, Information Type: guidepost, Reference: VWW 33.67
Latitude: 47.3332107, Longitude: 9.6679313, Information Type: guidepost, Reference: VWW 33.66
Latitude: 47.3199176, Longitude: 9.6558832, Information Type: guidepost, Reference: VWW 33.50
Latitude: 47.3235161, Longitude: 9.6568651, Information Type: guidepost, Reference: VWW 33.47
Latitude: 47.3250739, Longitude: 9.6571193, Information Type: guidepost, Reference: VWW 33.46
Latitude: 47.3421248, Longitude: 9.7085332, Information Type: guidepost, Reference: VWW 33.83
Latitude: 47.3372911, Longitude: 9.6983844, Information Type: guidepost, Reference: VWW 33.84
Latitude: 47.3317344, Longitude: 9.6756677, Information Type: guidepost, Reference: VWW 33.93
Latitude: 47.3338051, Longitude: 9.6959093, Information Type: guidepost, Reference: VWW 33.85
Latitude: 47.3447359, Longitude: 9.7051419, Information Type: guidepost, Reference: VWW 38.47
Latitude: 47.3274017, Longitude: 9.6636746, Information Type: guidepost, Reference: VWW 33.64
Latitude: 47.3367636, Longitude: 9.7013929, Information Type: guidepost, Reference: VWW 33.87
Latitude: 47.3321883, Longitude: 9.6752851, Information Type: guidepost, Reference: VWW 33.97
Latitude: 47.3461551, Longitude: 9.6909784, Information Type: guidepost, Reference: VWW 33.82
Latitude: 47.3384622, Longitude: 9.6816731, Information Type: guidepost, Reference: VWW 33.68
Latitude: 47.3306840, Longitude: 9.6618249, Information Type: guidepost, Reference: VWW 33.60
Latitude: 47.3457100, Longitude: 9.6328733, Information Type: guidepost, Reference: VWW 33.15
Latitude: 47.3426209, Longitude: 9.6929229, Information Type: guidepost, Reference: VWW 33.76
Latitude: 47.3425723, Longitude: 9.6463468, Information Type: guidepost, Reference: VWW 33.04
Latitude: 47.3476077, Longitude: 9.6454556, Information Type: guidepost, Reference: VWW 33.90
Latitude: 47.3356227, Longitude: 9.6664499, Information Type: guidepost, Reference: VWW 33.57
Latitude: 47.3347081, Longitude: 9.6591811, Information Type: guidepost, Reference: VWW 33.41
Latitude: 47.3425025, Longitude: 9.6915953, Information Type: guidepost, Reference: VWW 33.77
Latitude: 47.3417175, Longitude: 9.7038593, Information Type: guidepost, Reference: VWW 33.99
Latitude: 47.3455935, Longitude: 9.6858382, Information Type: guidepost, Reference: VWW 33.81
Latitude: 47.3376822, Longitude: 9.6908221, Information Type: guidepost, Reference: VWW 33.72
Latitude: 47.3400518, Longitude: 9.6865435, Information Type: guidepost, Reference: VWW 33.101
Latitude: 47.3388004, Longitude: 9.6830960, Information Type: guidepost, Reference: VWW 33.70
Latitude: 47.3378815, Longitude: 9.6832340, Information Type: guidepost, Reference: VWW 33.71
Latitude: 47.3302488, Longitude: 9.6708954, Information Type: guidepost, Reference: VWW 33.98
Latitude: 47.3321618, Longitude: 9.6699578, Information Type: guidepost, Reference: VWW 33.62
Latitude: 47.3264723, Longitude: 9.6471727, Information Type: guidepost, Reference: VWW 33.35
Latitude: 47.3288907, Longitude: 9.6449797, Information Type: guidepost, Reference: VWW 33.28
Latitude: 47.3267570, Longitude: 9.6445988, Information Type: guidepost, Reference: VWW 33.29
Latitude: 47.3250293, Longitude: 9.6393378, Information Type: guidepost, Reference: VWW 33.25
Latitude: 47.3400746, Longitude: 9.6777714, Information Type: guidepost, Reference: VWW 33.80
Latitude: 47.3339247, Longitude: 9.6611613, Information Type: guidepost, Reference: VWW 33.58
Latitude: 47.3435205, Longitude: 9.6228155, Information Type: guidepost, Reference: VWW 33.19
Latitude: 47.3416618, Longitude: 9.6204315, Information Type: guidepost, Reference: VWW 33.18
Latitude: 47.3365217, Longitude: 9.6266708, Information Type: guidepost, Reference: VWW 33.96
Latitude: 47.3358736, Longitude: 9.6281084, Information Type: guidepost, Reference: VWW 33.13
Latitude: 47.3338185, Longitude: 9.6449302, Information Type: guidepost, Reference: VWW 33.01
Latitude: 47.3323051, Longitude: 9.6434819, Information Type: guidepost, Reference: VWW 33.10
Latitude: 47.3325105, Longitude: 9.6351349, Information Type: guidepost, Reference: VWW 33.12
Latitude: 47.3367720, Longitude: 9.6372293, Information Type: guidepost, Reference: VWW 33.02
Latitude: 47.3397251, Longitude: 9.6240935, Information Type: guidepost, Reference: VWW 33.17
Latitude: 47.3390954, Longitude: 9.6255509, Information Type: guidepost, Reference: VWW 33.16
Latitude: 47.3414067, Longitude: 9.6300532, Information Type: guidepost, Reference: VWW 33.14
Latitude: 47.3400413, Longitude: 9.6407723, Information Type: guidepost, Reference: VWW 33.03
Latitude: 47.3463160, Longitude: 9.6445535, Information Type: guidepost, Reference: VWW 33.05
Latitude: 47.3375316, Longitude: 9.6552991, Information Type: guidepost, Reference: VWW 33.51
Latitude: 47.3328606, Longitude: 9.6511218, Information Type: guidepost, Reference: VWW 33.39
Latitude: 47.3334232, Longitude: 9.6493206, Information Type: guidepost, Reference: VWW 33.09
Latitude: 47.3394964, Longitude: 9.6552003, Information Type: guidepost, Reference: VWW 33.88
Latitude: 47.3426565, Longitude: 9.6552324, Information Type: guidepost, Reference: VWW 33.08
Latitude: 47.3434338, Longitude: 9.6547866, Information Type: guidepost, Reference: VWW 33.07
Latitude: 47.3433491, Longitude: 9.6500849, Information Type: guidepost, Reference: VWW 33.06
Latitude: 47.3467213, Longitude: 9.6478786, Information Type: guidepost, Reference: VWW 33.92
Latitude: 47.3480511, Longitude: 9.6492377, Information Type: guidepost, Reference: VWW 33.91
Latitude: 47.3304250, Longitude: 9.6337148, Information Type: guidepost, Reference: VWW 33.20
Latitude: 47.3261121, Longitude: 9.6304686, Information Type: guidepost, Reference: VWW 33.21
Latitude: 47.3349146, Longitude: 9.6983922, Information Type: guidepost, Reference: VWW 33.86
Latitude: 47.3254602, Longitude: 9.6614335, Information Type: guidepost, Reference: VWW 33.65
Latitude: 47.3224499, Longitude: 9.6518678, Information Type: guidepost, Reference: VWW 33.48
Latitude: 47.3326412, Longitude: 9.6516535, Information Type: guidepost, Reference: VWW 33.40
Latitude: 47.3354508, Longitude: 9.6981559, Information Type: guidepost, Reference: VWW 33.102
Latitude: 47.3322955, Longitude: 9.6357966, Information Type: guidepost, Reference: VWW 33.11
Latitude: 47.3424293, Longitude: 9.6647147, Information Type: guidepost, Reference: VWW 33.54
Latitude: 47.3399045, Longitude: 9.6679761, Information Type: guidepost, Reference: VWW 33.55
Latitude: 47.3296748, Longitude: 9.6522140, Information Type: guidepost, Reference: VWW 33.37
